reduction_ratio,rating
42.629795,skip
76.032055,skip
77.864162,excellent
35.001786,poor
99.802926,good
83.796961,skip
97.536263,skip
42.937613,excellent
99.973391,skip
82.325557,terrible
53.359881,skip
64.309466,fair
93.717946,terrible
56.561701,skip
81.865605,skip
89.220398,excellent
92.634078,terrible
55.138378,skip
93.694767,skip
0.465501,skip
51.629530,skip
50.030649,skip
96.991702,terrible
93.847834,terrible
35.886851,good
79.160011,fair
56.653329,terrible
65.879129,fair
72.558580,terrible
95.303270,terrible
99.112075,fair
94.484827,terrible
98.657780,good
48.968402,skip
71.480531,skip
74.045154,skip
37.303908,terrible
76.134851,good
95.501518,poor
96.865302,fair
73.889128,skip
73.507866,excellent
80.440427,terrible
75.396526,terrible
82.873189,fair
95.669876,skip
98.986382,fair
0.094650,skip
97.109029,good
78.015887,excellent
83.270124,fair
74.689150,terrible
0.269604,skip
79.940424,fair
97.679289,skip
76.825930,excellent
61.948172,skip
0.010678,skip
90.237748,fair
69.825038,skip
82.570955,fair
36.635141,poor
94.383547,terrible
53.166592,poor
86.061613,excellent
3.007244,skip
36.814641,skip
46.648116,poor
97.961952,terrible
71.059776,poor
83.802605,fair
74.930691,skip
91.689638,terrible
66.563647,fair
67.172214,fair
89.216489,terrible
73.155031,fair
74.103352,excellent
96.823008,skip
96.762699,excellent
99.404015,skip
40.344140,good
73.278170,fair
3.139337,skip
80.119622,fair
46.066923,poor
40.898465,terrible
0.116641,terrible
92.924096,skip
96.643483,poor
59.756774,skip
98.948863,fair
43.174308,fair
91.781848,poor
72.777585,terrible
94.170746,skip
73.280530,fair
0.950523,excellent
1.190156,poor
95.111176,poor
92.182728,skip
72.242206,poor
89.173564,skip
79.608279,skip
78.753265,skip
79.865946,excellent
99.098335,poor
92.555126,poor
71.500206,skip
77.859379,skip
53.054551,skip
61.175846,poor
35.347635,skip
33.415672,skip
80.232593,skip
78.779557,skip
58.553296,terrible
1.500358,fair
93.976828,poor
0.542876,skip
96.925696,poor
99.550372,poor
79.454558,excellent
85.146022,skip
56.723428,poor
97.039790,skip
69.588389,skip
76.357261,skip
61.471461,terrible
50.906891,skip
0.642248,skip
37.947983,skip
80.402329,skip
65.885456,poor
44.372438,skip
75.127982,skip
98.262902,skip
83.074730,excellent
76.907881,skip
82.272652,skip
42.674557,excellent
35.186333,terrible
79.472323,poor
51.537919,skip
77.217885,skip
62.796784,poor
4.327105,terrible
94.638277,excellent
0.438931,skip
75.823199,poor
71.849251,poor
3.956902,fair
74.740344,skip
94.003166,terrible
72.070270,fair
74.491370,skip
38.488780,terrible
47.920622,terrible
0.480573,poor
95.355473,skip
77.037577,skip
54.346630,skip
71.438964,poor
38.224865,fair
0.168203,skip
80.808685,good
99.718743,terrible
77.300590,skip
42.353688,fair
83.755366,skip
73.916996,terrible
77.473119,poor
0,skip
98.090427,terrible
71.095954,skip
83.288326,skip
64.729936,poor
94.721070,poor
90.496351,terrible
38.202203,poor
95.922504,skip
93.938409,fair
49.232948,fair
74.631051,terrible
76.437965,terrible
34.278965,terrible
96.881153,terrible
6.068732,excellent
62.952029,good
98.244593,skip
96.199277,excellent
80.307334,skip
92.596242,good
88.059864,fair
93.497310,skip
96.135770,poor
72.451013,skip
80.508947,excellent
0.106581,poor
34.038493,terrible
96.308184,skip
56.564756,poor
95.776057,skip
1.093587,poor
76.396872,poor
94.454292,good
80.544191,fair
70.832248,poor
80.356447,skip
91.261038,good
93.940903,poor
71.119833,skip
56.011897,fair
73.110030,skip
95.108803,terrible
70.976460,skip
98.179434,skip
34.398046,poor
75.768074,skip
93.160197,skip
76.028522,fair
83.336405,skip
70.584185,poor
99.747206,good
41.705445,excellent
92.316259,terrible
93.478517,poor
4.440558,skip
0.819188,skip
76.262259,skip
4.233825,skip
89.802706,skip
77.681874,skip
69.542358,fair
74.109109,poor
67.544898,skip
94.766174,skip
94.948222,skip
1.054026,terrible
0.690819,terrible
79.590967,poor
89.315297,skip
39.340488,skip
76,terrible
89.195791,skip
5.396960,skip
82.275148,skip
0.117256,poor
73.054379,poor
73.856211,terrible
94.652204,poor
59.412680,skip
56.910207,poor
78.069316,poor
4.578225,skip
76.864710,excellent
74.704425,terrible
75.596707,skip
0.566396,poor
0.262763,terrible
93.530342,skip
80.203022,excellent
0.083185,skip
74.187112,skip
78.079926,excellent
78.801934,fair
57.602630,good
95.204044,terrible
77.582164,fair
39.322263,fair
87.967688,skip
95.094974,skip
76.696137,skip
0.159808,skip
42.259789,skip
38.240767,terrible
97.986408,poor
80.094406,skip
99.479309,excellent
52.305989,skip
36.227442,poor
96.014795,good
80.380437,good
50.297602,skip
50.307296,skip
96.051659,skip
97.693902,skip
70.528338,skip
78.490907,skip
93.827269,terrible
95.800064,terrible
23.786854,skip
93.445775,terrible
93.848489,fair
1.973931,skip
75.959123,skip
0.383728,skip
73.773703,terrible
2.520788,skip
31.734425,skip
64.622025,terrible
55.721765,skip
95.931571,skip
73.738784,fair
68.310702,good
91.433185,terrible
41.384670,poor
73.841243,terrible
71.121529,poor
76.847040,skip
76.318616,poor
78.337975,poor
55.168573,skip
77.264841,excellent
74.825365,skip
61.208167,fair
97.093213,fair
73.926768,poor
72.756674,skip
55.588161,skip
94.585075,skip
0.171884,skip
86.402175,skip
92.975514,terrible
85.281195,excellent
60.315838,poor
39.068631,excellent
78.265038,terrible
55,terrible
30.547535,skip
1.692212,skip
69.156698,terrible
72.563894,terrible
90.444495,terrible
1.913898,terrible
89.659835,skip
96.425841,skip
90.441010,skip
98.718775,skip
98.916825,terrible
0.071928,skip
60.449375,good
95.827052,skip
75.758339,excellent
99.402480,fair
89.805288,skip
89.406684,poor
94.223052,skip
54.149806,skip
85.938341,skip
2.113828,skip
51.861922,poor
99.280014,skip
73.822366,skip
96.529854,skip
97.993467,poor
69.832784,skip
61.081982,fair
0.565072,poor
83.343612,excellent
72.787191,poor
34.432396,skip
90.665010,skip
96.980912,fair
98.412540,skip
35.699319,terrible
76.048777,terrible
93.863925,good
93.928963,skip
5.443047,excellent
3.283535,terrible
77.695294,skip
73.161443,skip
96.290919,skip
89.015062,skip
92.129501,skip
77.176168,terrible
63.999809,fair
72.882335,skip
75.514852,skip
32.482762,skip
74.842195,skip
68.610448,skip
0.244117,fair
67.302217,poor
74.675322,good
66.023319,poor
35.078577,terrible
70.078161,good
74.981609,terrible
86.881625,fair
94.246078,terrible
81.987891,skip
94.862763,terrible
